,province,city,area,address,name,lat,lng
133,浙江省,杭州市,西湖区,浙江省杭州市西湖区古墩路541号,汉庭酒店(杭州文新地铁站店),30.296398,120.104079
134,浙江省,杭州市,西湖区,浙江省杭州市西湖区灯彩街565号,杭州两岸国际大酒店,30.328302,120.075526
135,浙江省,杭州市,西湖区,浙江省杭州市西湖区天目山路325号,如家酒店(天目山路西溪店),30.26966,120.106415
136,浙江省,杭州市,西湖区,浙江省杭州市西湖区黄姑山路23号,桔子精选酒店(黄龙体育中心店),30.281323,120.139672
137,浙江省,杭州市,西湖区,浙江省杭州市西湖区留下镇百家园路128号,杭州启航国际大酒店,30.254976,120.068015
138,浙江省,杭州市,西湖区,浙江省杭州市西湖区保俶路150号,如家·neo(保俶路店),30.272588,120.154593
139,浙江省,杭州市,西湖区,浙江省杭州市西湖区龙井路1号,西湖风景区,30.228932,120.12792
140,浙江省,杭州市,西湖区,浙江省杭州市西湖区之江路148号,宋城,30.175794,120.105381
141,浙江省,杭州市,西湖区,浙江省杭州市西湖区天目山路518号,西溪国家湿地公园,30.27289,120.071528
142,浙江省,杭州市,西湖区,杭州市西湖区三台山杨公堤17号(龙井路口),茅家埠景区,30.245932,120.132183
143,浙江省,杭州市,西湖区,浙江省杭州市西湖区白马山庄花语轩西侧,杭州宝寿山景区,30.223611,120.017041
144,浙江省,杭州市,西湖区,浙江省杭州市西湖区梅灵南路,云栖竹径景区,30.197803,120.097373
145,浙江省,杭州市,西湖区,浙江省杭州市西湖区三台山路赤山埠29号,浴鹄湾,30.232267,120.142678
146,浙江省,杭州市,西湖区,杭州市西湖区北山街与保俶塔前山路交叉路口往东约200米(西湖风景区),杭州西湖风景名胜区-断桥残雪,30.264062,120.157776
147,浙江省,杭州市,西湖区,杭州市西湖区清谷路999号,杭州西湖风景名胜区-大清谷,30.200216,120.076695
148,浙江省,杭州市,西湖区,杭州市西湖区龙井村南九溪十八涧尽头(近九溪路),九溪烟树,30.208949,120.119643
149,浙江省,杭州市,西湖区,杭州市西湖区转塘里街68号,之江购物商厦,30.167267,120.084971
150,浙江省,杭州市,西湖区,浙江省杭州市西湖区紫霞街176号d座9楼,尚坤紫枫商城,30.295587,120.072745
151,浙江省,杭州市,西湖区,浙江省杭州市西湖区古墩路685号,店招邦广告五金商城,30.309719,120.103679
152,浙江省,杭州市,西湖区,浙江省杭州市西湖区转塘里街68号之江购物商厦负一楼31号,RELX悦刻专卖店(之江购物商厦店),30.167265,120.084735
153,浙江省,杭州市,西湖区,浙江杭州市西湖区翠柏路7号,物本购商城,30.297382,120.132528
154,浙江省,杭州市,西湖区,杭州市西湖区转塘里街68号之江购物商厦B1,倪何文体(之江购物商厦店),30.167368,120.084823
155,浙江省,杭州市,西湖区,杭州市西湖区转塘里街68号之江购物商厦F1,足下登专卖(之江购物商厦店),30.166998,120.085585
156,浙江省,杭州市,西湖区,杭州市西湖区转塘里街68号之江购物商厦F1,女装店(之江购物商厦店),30.167296,120.085155
157,浙江省,杭州市,西湖区,杭州市西湖区转塘里街68号之江购物商厦B1,内衣店(之江购物商厦店),30.167228,120.085118
158,浙江省,杭州市,西湖区,杭州市西湖区转塘里街68号之江购物商厦F2,棒棒糖(之江购物商厦店),30.16727,120.085165
159,浙江省,杭州市,西湖区,杭州市西湖区北山街,少年宫广场,30.266776,120.162
160,浙江省,杭州市,西湖区,浙江省杭州市西湖区文三路508号天苑大厦星光城F1星光城F1,星光城,30.283198,120.127404
161,浙江省,杭州市,西湖区,杭州市西湖区绿城黄龙世纪广场-B座附近,绿城黄龙世纪广场-B座-接送点,30.273824,120.147911
162,浙江省,杭州市,西湖区,浙江省杭州市西湖区弥陀寺路10号,省府加油站,30.272237,120.15611
163,浙江省,杭州市,西湖区,浙江省杭州市西湖区文三路500号,中国石化(文三路加油站),30.282973,120.128496
164,浙江省,杭州市,西湖区,浙江省杭州市西湖区庙山东村28号,金投能源有限公司转塘加油站,30.169268,120.087936
165,浙江省,杭州市,西湖区,浙江省杭州市西湖区龙坞镇留转线与留泗路交叉路口,杭州石油唐家桥加油站,30.188193,120.067266
166,浙江省,杭州市,西湖区,浙江省杭州市西湖区留和路98号,中国石油(留和路加油站),30.233952,120.053811
167,浙江省,杭州市,西湖区,浙江省杭州市西湖区之江路36号,之江石化加油站,30.185339,120.11642
168,浙江省,杭州市,西湖区,之江路218号,金投能源,30.169248,120.087876
169,浙江省,杭州市,滨江区,浙江省杭州市滨江区江晖路1276号中赢国际商务大厦B1层,世纪联华(中赢国际广场店),30.206448,120.217193
170,浙江省,杭州市,滨江区,浙江省杭州市滨江区滨盛路1766号二期b1层,盒马鲜生(华联·星光大道二期南区店),30.21593,120.213782
171,浙江省,杭州市,滨江区,浙江省杭州市滨江区浦沿街道东冠路611号金盛嘉悦广场二楼,永辉超市(金盛嘉悦店),30.167506,120.161953
172,浙江省,杭州市,滨江区,浙江省杭州市滨江区江南大道228号负1楼,物美超市(星光大道店),30.21353,120.215297
173,浙江省,杭州市,滨江区,浙江省杭州市滨江区滨盛路2239号,联华超市(滨盛路店),30.208074,120.200958
174,浙江省,杭州市,滨江区,浙江省杭州市滨江区滨盛路4396号,联华超市(都市生活杭州彩虹城店),30.193417,120.16332
175,浙江省,杭州市,滨江区,杭州市滨江区西兴街道缤纷小区商铺76号,华联超市(缤纷店),30.223019,120.230347
176,浙江省,杭州市,滨江区,杭州市滨江区江陵路336号,联华超市(江陵路店),30.189712,120.22526
177,浙江省,杭州市,滨江区,浙江省杭州市滨江区六和路365号贺田尚城一区,联华超市(杭州贺田尚城店),30.186923,120.144436
178,浙江省,杭州市,滨江区,浙江省杭州市滨江区滨盛路3191号恒丰七彩城九区2楼,世纪华联超市(仁苑店),30.196967,120.183126
179,浙江省,杭州市,滨江区,浙江省杭州市滨江区长江南路336号678幢,杭州白马湖建国饭店,30.1675,120.210047
180,浙江省,杭州市,滨江区,浙江省杭州市滨江区长河街道滨康路315号,汉庭酒店(杭州聚才路地铁站店),30.186587,120.20273
181,浙江省,杭州市,滨江区,浙江省杭州市滨江区网商路272号,杭州蓝臣大酒店,30.18926,120.20047
182,浙江省,杭州市,滨江区,浙江省杭州市滨江区东冠路611号,锦江之星品尚(杭州滨江大学城店),30.166643,120.161657
183,浙江省,杭州市,滨江区,浙江省杭州市滨江区江南大道4252知本大厦A3幢,梦居商务酒店,30.189606,120.160772
184,浙江省,杭州市,滨江区,浙江省杭州市滨江区江陵路2028号星耀城一期3幢,桔子水晶酒店(江陵路地铁站店),30.218915,120.222184
185,浙江省,杭州市,滨江区,浙江省杭州市滨江区同人路25号,青尚快捷酒店,30.208437,120.199287
186,浙江省,杭州市,滨江区,浙江省杭州市滨江区西浦路1569号,汉庭怡莱酒店(杭州滨江东信大道店),30.181694,120.140853
187,浙江省,杭州市,滨江区,浙江省杭州市滨江区浦沿路773号江南商业大厦2幢,汉庭酒店(滨文路店),30.17822,120.152224
188,浙江省,杭州市,滨江区,浙江省杭州市滨江区江南大道88号中化蓝天大厦B座1楼,全季酒店(江陵路地铁站店),30.215078,120.221188
189,浙江省,杭州市,滨江区,闻涛路,滨江最美樱花跑道,30.197464,120.156407
190,浙江省,杭州市,滨江区,真经路,冠山,30.16858,120.192581
191,浙江省,杭州市,滨江区,杭州市滨江区风情大道2758号浙江湘湖旅游度假区内,杨堤,30.147023,120.225185
192,浙江省,杭州市,滨江区,浙江省杭州市滨江区长河街道塘子堰路159号,笨鸟的第1个园区,30.159773,120.210765
193,浙江省,杭州市,滨江区,浙江省杭州市滨江区湘湖旅游度假区内狮子山停车场旁,越女舫,30.146364,120.222927
194,浙江省,杭州市,滨江区,杭州市滨江区滨康路105号,杭州国城长城,30.187478,120.226524
195,浙江省,杭州市,滨江区,杭州市滨江区风情大道2758号浙江湘湖旅游度假区内,湘湖国家旅游度假区-凌云亭,30.157352,120.226941
196,浙江省,杭州市,滨江区,浙江省杭州市滨江区滨安路1168号施强广场8幢1层喜士多便利店内,麓隐花野,30.191844,120.189375
197,浙江省,杭州市,滨江区,杭州市滨江区湘湖路132号湘湖国家级旅游度假区内,迎妃桥,30.145016,120.21722
198,浙江省,杭州市,滨江区,杭州市滨江区越王路湘湖旅游度假区,乐水亭,30.146213,120.22265
199,浙江省,杭州市,滨江区,杭州市滨江区江南大道1090号,中南国际商城,30.202085,120.195547
200,浙江省,杭州市,滨江区,浙江省杭州市滨江区长河街道长江路432号,宝莲灯母婴用品(长河商厦店),30.174883,120.202825
201,浙江省,杭州市,滨江区,浙江杭州市滨江区科技馆街凯瑞金座1607号,微来购,30.213981,120.208199
202,浙江省,杭州市,滨江区,杭州市滨江区长河街道江南大道1090号中南国际商城5幢108室,家友超市(中南国际商城店),30.201054,120.199432
203,浙江省,杭州市,滨江区,杭州市滨江区江南大道1090号中南国际商城F2,金牌厨柜(中南国际商城店),30.202294,120.194087
